epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,1962.47,1.19143,1.36751,0.50601,0.0015,0.33401,0.86382,0.75587,0.79526,0.47011,0.83747,0.75587,0.77768,0.40887,1.39241,1.64723,0.51681,0.00201,0,0.000795954,0.000795954,0.000795954
92,1986.06,1.10908,1.34139,0.5063,0.00141,0.32543,0.88632,0.76871,0.81322,0.47042,0.86712,0.76526,0.80621,0.42575,1.38759,1.70082,0.49861,0.002,0,0.000791744,0.000791744,0.000791744
93,2009.88,1.20822,1.44356,0.50087,0.00148,0.36268,0.87068,0.77934,0.81491,0.48604,0.86544,0.77465,0.81223,0.42537,1.31751,1.72755,0.51846,0.00187,0,0.000787503,0.000787503,0.000787503
94,2030.73,1.18929,1.39608,0.51321,0.00148,0.36975,0.8372,0.76995,0.80052,0.49199,0.82849,0.77111,0.80225,0.41685,1.29576,1.72235,0.52727,0.00188,0,0.000783231,0.000783231,0.000783231
95,2051.12,1.21812,1.38185,0.54041,0.00161,0.34831,0.86537,0.72425,0.80242,0.48314,0.89886,0.69484,0.79178,0.40996,1.3318,1.727,0.5328,0.00191,0,0.000778929,0.000778929,0.000778929
96,2071.05,1.11351,1.33332,0.49198,0.00141,0.33597,0.82551,0.75587,0.8188,0.48229,0.8241,0.75117,0.82913,0.44166,1.34802,1.71087,0.53091,0.00193,0,0.000774596,0.000774596,0.000774596
97,2091.75,1.1365,1.30638,0.46003,0.00149,0.32153,0.859,0.74367,0.7917,0.47329,0.88247,0.69014,0.78118,0.42401,1.38342,1.69181,0.51424,0.00201,0,0.000770234,0.000770234,0.000770234
98,2112.08,1.18181,1.37179,0.49775,0.00151,0.31832,0.86791,0.77119,0.8001,0.4714,0.84155,0.74806,0.78405,0.40441,1.38885,1.70611,0.49384,0.00203,0,0.000765843,0.000765843,0.000765843
99,2133.4,1.19333,1.39009,0.50662,0.00151,0.34018,0.84706,0.78873,0.82496,0.4859,0.84803,0.77934,0.82864,0.41943,1.32523,1.65046,0.48387,0.00192,0,0.000761423,0.000761423,0.000761423
100,2154.5,1.29124,1.49329,0.53434,0.00155,0.35844,0.86048,0.77934,0.81655,0.48775,0.85589,0.76526,0.80637,0.41292,1.33602,1.63239,0.50107,0.00194,0,0.000756976,0.000756976,0.000756976
101,2174.54,1.20487,1.47165,0.48789,0.00152,0.35359,0.87752,0.76526,0.80614,0.47832,0.86619,0.74648,0.79005,0.39199,1.37247,1.61417,0.49412,0.00202,0,0.0007525,0.0007525,0.0007525
102,2195.26,1.2096,1.42427,0.52238,0.00151,0.34142,0.84051,0.78873,0.81661,0.46935,0.83687,0.78404,0.80056,0.39315,1.41071,1.61738,0.51882,0.00205,0,0.000747997,0.000747997,0.000747997
103,2219.7,1.17867,1.32459,0.49096,0.00145,0.31227,0.83975,0.78873,0.80268,0.48665,0.88758,0.723,0.78904,0.41073,1.34443,1.59937,0.51789,0.00195,0,0.000743468,0.000743468,0.000743468
104,2242.59,1.16349,1.32814,0.45837,0.00152,0.31389,0.85118,0.77872,0.81756,0.49472,0.83544,0.7627,0.80364,0.43006,1.31902,1.60627,0.47966,0.00191,0,0.000738913,0.000738913,0.000738913
105,2262.6,1.18543,1.35991,0.49309,0.00159,0.31964,0.86847,0.76995,0.81003,0.49279,0.86146,0.76056,0.79791,0.41979,1.30932,1.67507,0.48633,0.00185,0,0.000734332,0.000734332,0.000734332
106,2283.45,1.18402,1.39333,0.48236,0.00157,0.32845,0.88641,0.78404,0.82399,0.4927,0.87048,0.76995,0.81135,0.42938,1.3149,1.65779,0.48302,0.00187,0,0.000729725,0.000729725,0.000729725
107,2303.29,1.13056,1.34745,0.47164,0.00144,0.31407,0.88974,0.79558,0.82082,0.50482,0.86797,0.77465,0.80412,0.43319,1.30448,1.6118,0.4578,0.00187,0,0.000725094,0.000725094,0.000725094
108,2323.32,1.13115,1.31194,0.46211,0.00146,0.32363,0.886,0.80273,0.82499,0.49992,0.87468,0.79812,0.81362,0.41591,1.35345,1.6256,0.46246,0.00196,0,0.000720439,0.000720439,0.000720439
109,2342.95,1.16535,1.27541,0.45865,0.00146,0.32085,0.88495,0.7945,0.82474,0.49945,0.87014,0.79343,0.82234,0.40992,1.322,1.61536,0.46006,0.0019,0,0.000715761,0.000715761,0.000715761
110,2364.41,1.12252,1.36971,0.44317,0.00142,0.3421,0.912,0.78404,0.82505,0.48764,0.89561,0.76995,0.81264,0.42965,1.32848,1.59794,0.46134,0.00194,0,0.000711059,0.000711059,0.000711059
111,2385.04,1.15186,1.33186,0.44441,0.00152,0.33648,0.9005,0.77465,0.80887,0.47548,0.88959,0.76526,0.80479,0.42289,1.41273,1.65217,0.48493,0.0021,0,0.000706335,0.000706335,0.000706335
112,2404.82,1.17082,1.31324,0.47606,0.00149,0.34581,0.8957,0.76601,0.82204,0.48552,0.90776,0.76526,0.82741,0.41597,1.36771,1.63519,0.49669,0.00198,0,0.000701588,0.000701588,0.000701588
113,2425.83,1.23563,1.49124,0.49505,0.00158,0.32433,0.83766,0.79812,0.8141,0.49117,0.83435,0.80401,0.81855,0.42318,1.3438,1.61679,0.49867,0.00194,0,0.00069682,0.00069682,0.00069682
114,2446.83,1.18515,1.41186,0.464,0.00144,0.34346,0.871,0.79247,0.81718,0.48997,0.86077,0.78368,0.81355,0.43951,1.3176,1.62009,0.49741,0.00191,0,0.000692031,0.000692031,0.000692031
115,2470.22,1.17589,1.33853,0.46807,0.00151,0.31815,0.8757,0.78404,0.81661,0.49079,0.87345,0.77465,0.81179,0.43259,1.32048,1.63283,0.47595,0.00189,0,0.000687222,0.000687222,0.000687222
